Date,Episode,Title,Directed by,Written by,Duration,Summary,Rating/Share,U.S. viewers,"Prod.
code"
09/22/94,01-01,The Pilot,James Burrows,David Crane & Marta Kauffman,22,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiance at the altar.",14.7/23,21.5 million,456650
09/29/94,01-02,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,22,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,14.0/22,20.2 million,456652
10/06/94,01-03,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,22,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,13.6/22,19.5 million,456651
10/13/94,01-04,The One with George Stephanopoulos,James Burrows,Alexa Junge,22,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",13.7/22,19.7 million,456654
10/20/94,01-05,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,22,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",12.9/20,18.6 million,456653
10/27/94,01-06,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,22,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,12.4/20,18.2 million,456655
11/03/94,01-07,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,22,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",16.1/24,23.5 million,456656
11/10/94,01-08,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,22,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,14.2/22,21.1 million,456657
11/17/94,01-09,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,22,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,15.7/24,23.1 million,456659
12/15/94,01-10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,22,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,13.6/22,19.9 million,456661
01/05/95,01-11,The One with Mrs. Bing,James Burrows,Alexa Junge,22,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",17.6/27,26.6 million,456660
01/12/95,01-12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,22,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,16.1/25,24.0 million,456658
01/19/95,01-13,The One with the Boobies,Alan Myerson,Alexa Junge,22,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,17.3/26,25.8 million,456664
02/09/95,01-14,The One with the Candy Hearts,James Burrows,Bill Lawrence,22,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",15.9/24,23.8 million,456667
02/16/95,01-15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,22,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",16.9/25,24.8 million,456663
02/23/95,01-16,"The One with Two Parts, Part I",Michael Lembeck,Marta Kauffman & David Crane,22,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,17.5/27,26.1 million,456665A
02/23/95,01-17,"The One with Two Parts, Part II",Michael Lembeck,Marta Kauffman & David Crane,22,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",20.8/31,30.5 million,456665B
03/02/95,01-18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,22,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",20.4/31,30.4 million,456662
03/09/95,01-19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,22,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,20.0/31,29.4 million,456668
04/06/95,01-20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,22,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.",20.5/32,30.0 million,456669
04/27/95,01-21,The One with Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,22,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,19.2/29,28.4 million,456671
05/04/95,01-22,The One with the Ick Factor,Robby Benson,Alexa Junge,22,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,20.7/31,29.9 million,456670
05/11/95,01-23,The One with the Birth,James Burrows,"Story by : David Crane & Marta Kauffman
Teleplay by : Jeff Greenstein & Jeff Strauss",22,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.",19.7/30,28.7 million,456672
05/18/95,01-24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,22,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.",21.3/32,31.3 million,456673
09/21/95,02-01,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,22,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.",20.5/33,32.1 million,457301
09/28/95,02-02,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,22,"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.",19.3/31,29.8 million,457302
10/05/95,02-03,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,22,"After Mr. Heckles dies and leaves all his belongings to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Phoebe and Ross argue over evolution.",19.8/31,30.2 million,457303
10/12/95,02-04,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,22,"When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.",19.3/31,28.1 million,457305
10/19/95,02-05,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,22,"The gang are divided by income issues; Monica, Ross and Chandler have money, and Rachel, Phoebe and Joey don't.",18.6/30,28.3 million,457304
11/02/95,02-06,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,22,"Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.",19.7/30,30.2 million,457306
11/09/95,02-07,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,22,"A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.",19.6/31,30.5 million,457307
11/16/95,02-08,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,22,"With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.",21.1/33,32.9 million,457308
12/14/95,02-09,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,22,"Phoebe tracks down her father, but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him.",18.8/30,27.8 million,457309
01/04/96,02-10,The One with Russ,Thomas Schlamme,Ira Ungerleider,22,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,21.0/31,32.2 million,457311
01/18/96,02-11,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,22,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,20.8/31,31.6 million,457312
01/28/96,"02-12
02-13",The One After the Super Bowl,Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,44,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,29.6/46,52.9 million,457313457314
02/01/96,02-14,The One with the Prom Video,James Burrows,Alexa Junge,22,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.,21.7/32,33.6 million,457310
02/08/96,02-15,The One Where Ross and Rachel... You Know,Michael Lembeck,Michael Curtis & Gregory S. Malins,22,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,21.7/33,32.9 million,457315
02/15/96,02-16,The One Where Joey Moves Out,Michael Lembeck,Betsy Borns,22,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,21.1/33,31.1 million,457316
02/22/96,02-17,The One Where Eddie Moves In,Michael Lembeck,Adam Chase,22,"Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment.",20.0/31,30.2 million,457317
03/21/96,02-18,The One Where Dr. Ramoray Dies,Michael Lembeck,"Story by : Alexa Junge
Teleplay by : Michael Borkow",22,"Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica.",19.9/31,30.1 million,457318
03/28/96,02-19,The One Where Eddie Won't Go,Michael Lembeck,Michael Curtis & Gregory S. Malins,22,"Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want.",20.0/32,31.2 million,457319
04/04/96,02-20,The One Where Old Yeller Dies,Michael Lembeck,"Story by : Michael Curtis & Gregory S. Malins
Teleplay by : Adam Chase",22,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,18.4/31,27.4 million,457320
04/25/96,02-21,The One with the Bullies,Michael Lembeck,Brian Buckner & Sebastian Jones,22,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,16.6/30,24.7 million,457321
05/02/96,02-22,The One with Two Parties,Michael Lembeck,Alexa Junge,22,"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting.",18.0/33,25.5 million,457322
05/09/96,02-23,The One with the Chicken Pox,Michael Lembeck,Brown Mandell,22,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,18.1/33,26.1 million,457324
05/16/96,02-24,The One with Barry and Mindy's Wedding,Michael Lembeck,"Story by : Ira Ungerleider
Teleplay by : Brown Mandell",22,Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,19.1/34,29.0 million,457323
09/19/96,03-01,The One with the Princess Leia Fantasy,Gail Mancuso,Michael Curtis & Gregory S. Malins,22,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,16.7/31,26.8 million,465251
09/26/96,03-02,The One Where No One's Ready,Gail Mancuso,Ira Ungerleider,22,"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space.",18.4/31,26.7 million,465252
10/03/96,03-03,The One with the Jam,Kevin S. Bright,Wil Calhoun,22,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,17.3/30,25.2 million,465253
10/10/96,03-04,The One with the Metaphorical Tunnel,Steve Zuckerman,Alexa Junge,22,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,18.0/30,26.1 million,465254
10/17/96,03-05,The One with Frank Jr.,Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,22,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,16.1/26,23.3 million,465255
10/31/96,03-06,The One with the Flashback,Peter Bonerz,David Crane & Marta Kauffman,22,"The gang remember the events three years ago, when several of them almost slept together.",16.0/28,23.3 million,465256
11/07/96,03-07,The One with the Racecar Bed,Gail Mancuso,Seth Kurland,22,"Joey becomes a learning extension teacher in soap acting, and loves the respect from even more clueless kids. Monica chooses a ridiculously cheap bed from Janice's ex; Phoebe signs for her at delivery- of another bed, a childish race car! Rachel convinces Ross to dine with her dad, who takes him down even worse then he feared; the next day Ross and Dr. Green find each-other making fun about Rachel's chiropractor and various lack of good sense. When Joey hears one of his students also auditions for the same role he wants, he tries to eliminate him by bad advice to play the boxer gay, but the effect surprises him, though less then what he sees at the Mattress King when trying to get Monica's original bed.",18.0/29,27.4 million,465257
11/14/96,03-08,The One with the Giant Poking Device,Gail Mancuso,Adam Chase,22,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,18.8/30,28.7 million,465258
11/21/96,03-09,The One with the Football,Kevin S. Bright,Ira Ungerleider,22,"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football.",19.0/30,29.3 million,465259
12/12/96,03-10,The One Where Rachel Quits,Terry Hughes,Gregory S. Malins & Michael Curtis,22,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,16.1/27,25.1 million,465260
01/09/97,03-11,The One Where Chandler Can't Remember Which Sister,Terry Hughes,Alexa Junge,22,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,19.4/29,29.8 million,465261
01/16/97,03-12,The One with All the Jealousy,Robby Benson,Doty Abrams,22,"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.",19.4/29,29.6 million,465262
01/30/97,03-13,The One Where Monica and Richard Are Just Friends,Robby Benson,Michael Borkow,22,"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction"".",18.9/29,28.0 million,465265
02/06/97,03-14,The One with Phoebe's Ex-Partner,Robby Benson,Wil Calhoun,22,"Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg.",19.0/30,28.9 million,465266
02/13/97,03-15,The One Where Ross and Rachel Take a Break,James Burrows,Michael Borkow,22,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.,18.3/29,27.3 million,465263
02/20/97,03-16,The One the Morning After,James Burrows,David Crane & Marta Kauffman,22,"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.",18.6/29,28.3 million,465264
03/06/97,03-17,The One Without the Ski Trip,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,22,"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.",17.5/29,25.8 million,465267
03/13/97,03-18,The One with the Hypnosis Tape,Robby Benson,Seth Kurland,22,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Frank makes a surprise announcement that he is getting married - to a woman twice his age.,18.7/30,28.1 million,465269
03/27/97,03-19,The One with the Tiny T-Shirt,Terry Hughes,Adam Chase,22,"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him.",16.0/28,23.7 million,465268
04/10/97,03-20,The One with the Dollhouse,Terry Hughes,Wil Calhoun,22,"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna.",16.3/28,24.4 million,465270
04/17/97,03-21,The One with a Chick and a Duck,Michael Lembeck,Chris Brown,22,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.",16.0/28,23.2 million,465271
04/24/97,03-22,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,22,"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company.",15.5/27,22.6 million,465272
05/01/97,03-23,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,22,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.,16.6/29,24.2 million,465274
05/08/97,03-24,The One with the Ultimate Fighting Champion,Robby Benson,"Story by : Pang-Ni Landrum & Mark Kunerth
Teleplay by : Shana Goldberg-Meehan & Scott Silveri",22,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.,15.6/27,23.1 million,465273
05/15/97,03-25,The One at the Beach,Pamela Fryman,"Story by : Pang-Ni Landrum & Mark Kunerth
Teleplay by : Adam Chase",22,"While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie.",16.5/29,28.8 million,465275
09/25/97,04-01,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,22,"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach.",19.5/32,29.4 million,466601
10/02/97,04-02,The One with the Cat,Shelley Jensen,Jill Condon & Amy Toomin,22,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.,17.6/30,25.5 million,466602
10/09/97,04-03,The One with the Cuffs,Peter Bonerz,Seth Kurland,22,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.,16.7/28,24.0 million,466603
10/16/97,04-04,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,22,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.,16.4/28,24.3 million,466604
10/30/97,04-05,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,22,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.,16.3/26,24.4 million,466605
11/06/97,04-06,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,22,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.,17.5/28,25.7 million,466606
11/13/97,04-07,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,22,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.,18.2/29,26.4 million,466607
11/20/97,04-08,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,22,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,18.4/29,26.8 million,466608
12/11/97,04-09,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,22,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,16.1/26,23.9 million,466609
12/18/97,04-10,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,22,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.",15.2/26,23.2 million,466612
01/08/98,04-11,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,22,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,15.7/24,23.7 million,466610
01/15/98,04-12,The One with the Embryos,Kevin S. Bright,Jill Condon & Amy Toomin,22,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.",17.3/27,27.1 million,466611
01/29/98,04-13,The One with Rachel's Crush,Dana DeVally Piazza,Shana Goldberg-Meehan,22,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.",16.9/27,25.3 million,466613
02/05/98,04-14,The One with Joey's Dirty Day,Peter Bonerz,Wil Calhoun,22,"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.",17.0/26,25.1 million,466614
02/26/98,04-15,The One with All the Rugby,James Burrows,"Story by : Ted Cohen & Andrew Reich
Teleplay by : Wil Calhoun",22,"Chandler runs into Janice, and finds her more irritating than ever and creates an elaborate plan to break up with her, meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric lighting switch.",16.5/26,24.4 million,466617
03/19/98,04-16,The One with the Fake Party,Michael Lembeck,"Story by : Alicia Sky Varinaitis
Teleplay by : Scott Silveri & Shana Goldberg-Meehan",22,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,15.9/26,23.1 million,466615
03/26/98,04-17,The One with the Free Porn,Michael Lembeck,"Story by : Mark Kunerth
Teleplay by : Richard Goodman",22,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,15.9/27,23.2 million,466616
04/02/98,04-18,The One with Rachel's New Dress,Gail Mancuso,"Story by : Andrew Reich & Ted Cohen
Teleplay by : Jill Condon & Amy Toomin",22,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,14.9/24,21.7 million,466620
04/09/98,04-19,The One with All the Haste,Kevin S. Bright,Scott Silveri & Wil Calhoun,22,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,15.4/27,21.8 million,466618
04/16/98,04-20,The One with All the Wedding Dresses,Gail Mancuso,"Story by : Adam Chase
Teleplay by : Gregory S. Malins & Michael Curtis",22,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.",15.3/26,21.9 million,466621
04/23/98,04-21,The One with the Invitation,Peter Bonerz,Seth Kurland,22,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.",15.3/27,21.5 million,466619
04/30/98,04-22,The One with the Worst Best Man Ever,Peter Bonerz,"Story by : Seth Kurland
Teleplay by : Gregory S. Malins & Michael Curtis",22,"at first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.",16.0/27,23.2 million,466622
05/07/98,"04-23
04-24",The One with Ross's Wedding,Kevin S. Bright,"Michael BorkowStory by : Jill Condon & Amy Toomin
Teleplay by : Shana Goldberg-Meehan & Scott Silveri",60,"Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding, while someone else unexpectedly shows up to the wedding. Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.",21.2/35,31.6 million,466623466624
09/24/98,05-01,The One After Ross Says Rachel,Kevin S. Bright,Seth Kurland,22,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.",20.0/33,31.1 million,467651
10/01/98,05-02,The One with All the Kissing,Gary Halvorson,Wil Calhoun,22,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,17.4/29,25.4 million,467652
10/08/98,05-03,The One Hundredth,Kevin S. Bright,David Crane & Marta Kauffman,22,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.",17.7/29,26.8 million,467653
10/15/98,05-04,The One Where Phoebe Hates PBS,Shelley Jensen,Michael Curtis,22,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,15.7/27,24.1 million,467654
10/29/98,05-05,The One with the Kips,Dana DeVally Piazza,Scott Silveri,22,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,17.0/27,25.9 million,467655
11/05/98,05-06,The One with the Yeti,Gary Halvorson,Alexa Junge,22,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.,16.8/26,25.0 million,467656
11/12/98,05-07,The One Where Ross Moves In,Gary Halvorson,Gigi McCreery & Perry Rein,22,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,16.1/26,24.4 million,467657
